title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178490-01),PW-16-00742919,GRK(W8482-178490/000/A),W8482-178490-01,Active,2016-12-07,2016-12-08,N4130 - Refrigeration and Air Conditioning Components,,Open,"Emec, Bahar 261-982-5226 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany PWGSC.CDOSKoblenz-SCODKoblenz.TPSGC@pwgsc-tpsgc.gc.ca",Global Logistics Support GmbH Pritzen - Ressener Weg 1 03229 Altdöbern Germany,,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-168409-01),PW-16-00729620,GRK(W8482-168409/000/A),W8482-168409-01,Active,2016-12-07,2016-12-09,"N7240 - Household and Commercial Utility Containers, N5360 - Coil, Flat and Wire Springs, N5310 - Nuts and Washers, N5306 - Bolts, N5305 - Screws, N1005 - Guns, through 30 mm, unless installed in a vehicle, aircraft, ship",,Open,"+49 261-98252-26 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany","FN Herstal S.A. Rue Voie de Liege, 33 Herstal, B-4040 Belgium",,
Environmental Management System Phase II (EMS) Development (878042),PW-16-00752735,16-22085,878042,Active,2016-12-12,2016-12-13,"H300A - Laboratory, Testing and Inspection Services, Except Medical/Dental, B101A - Environmental Impact Studies",,Open,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA",Aecom Canada Ltd.,,
"Fan, Ventilating (W8482-178954/001/DMARP4)",PW-16-00744837,W8482-178594/B,W8482-178954/001/DMARP4,Active,2016-10-21,2016-12-19,"N4140 - Fans, Air Circulators and Blower Equipment",,Open,National Defence Headquarters 101 Colonel By Drive Ottawa ON K1A 0K2 CA,Simex Defence Inc. 216 Brunswick Blvd. Pointe Claire QC  H9R 1A6 CA,,
Gasket (W8482-178671/001/DMARP4),PW-16-00745096,W8482-17-8617/A,W8482-178671/001/DMARP4,Active,2016-11-22,2016-12-19,N5330 - Packing and Gasket Material,,Open,"Cooper, Laura 819-939-3817 455 Blvd de la Carriere Gatineau QC J8Y 6R5 CA","Kaycom Inc. 193 Brunswick Blvd. Pointe-Claire, QC H9R 5N2 CA",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-168006/01-GRK6),PW-16-00730060,GRK(W8482-168006/000/A),W8482-168006/01-GRK6,Active,2016-09-23,2017-01-04,"N4820 - Valves, Nonpowered",,Open,"Freund, Hannelore +11-49-261-982-5216 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany PWGSC.CDOSKoblenz-SCODKoblenz.TPSGC@pwgsc-tpsgc.gc.ca","Source Atlantic Limited Operating as Mobile Valve 140 Highway #1 Mount Uniacke, Nova Scotia BON 1Z0 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-168011/01-GRK6),PW-16-00730063,GRK(W8482-168011/000/A),W8482-168011/01-GRK6,Active,2016-09-30,2017-01-04,"N5930 - Switches, N6210 - Indoor and Outdoor Electric Lighting Fixtures, N6220 - Electric Vehicular Lights and Fixtures",,Open,"Freund, Hannelore +11-49-261-982-5216 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany PWGSC.CDOSKoblenz-SCODKoblenz.TPSGC@pwgsc-tpsgc.gc.ca","Simex Defence Inc. 216 Brunswick Blvd Pointe Claire, Quebec H9R 1A6 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-168177/01-GRK6),PW-16-00733699,GRK(W8482-168177/000/A),W8482-168177/01-GRK6,Active,2016-09-26,2017-01-04,"N1045 - Launchers, Torpedo and Depth Charges, Unless Installed in a Vehicle, Aircraft, Ship",,Open,"Freund, Hannelore 011-49-261-98252-16 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany CDOS.Koblenz@tpsgc-pwgsc.gc.ca","Source Atlantic Limited operating as Mobile Valve 140 Highway #1, PO Box 90 Mount Uniacke, Nova Scotia B0N 1Z0 Canada",,
Demolition of the Barn “La Grange” building and the projects’ warehouse – Forillon National Park (5P300-16-5529),PW-16-00754559,5P300-16-5529,5P300-16-5529,Active,2017-01-06,2017-01-09,"5112B - Demolition Work, 5164AB - Electrical Contractor Services, Class A Licence, S001A - Electricity Services",,Open,"Bernier, Marilyn 418-648-4569 3 Passage du Chien d'Or, Room 200 Québec  QC G1R 4V7 CA","Les Entreprises PEC inc. 114, Route de la Rivière Bonaventure, Québec G0C 1E0",,
Request for Standing Offers #264 (“RFSO”) Special Examination Auditing Services (P1700508),PW-16-00740674,264,P1700508,Active,2017-01-09,2017-01-10,"R010B - Audit Services, Not Elsewhere Specified",,Open,"Norgaard, Lars 613-952-0213 240 Sparks Street Ottawa  ON K1A 0G6 CA","Samson & Associates  85 Victoria Street Gatineau, QB, Canada J8X 2A3",,
Request for Standing Offers #264 (“RFSO”) Special Examination Auditing Services (P1700515),PW-16-00740674,264,P1700515,Active,2017-01-09,2017-01-10,"R010B - Audit Services, Not Elsewhere Specified",,Open,"Norgaard, Lars 613-952-0213 240 Sparks Street Ottawa  ON K1A 0G6 CA","KPMG 160 Elgin Street Suite 2000 Ottawa, ON, Canada K2P 2P8",,
Request for Standing Offers #264 (“RFSO”) Special Examination Auditing Services (P1700514),PW-16-00740674,264,P1700514,Active,2017-01-09,2017-01-10,"R010B - Audit Services, Not Elsewhere Specified",,Open,"Norgaard, Lars 613-952-0213 240 Sparks Street Ottawa  ON K1A 0G6 CA","Welch LLP 123 Slater Street, 3rd Floor Ottawa, ON, Canada K1P 5H2",,
Request for Standing Offers #264 (“RFSO”) Special Examination Auditing Services (P1700513),PW-16-00740674,264,P1700513,Active,2017-01-09,2017-01-10,"R010B - Audit Services, Not Elsewhere Specified",,Open,"Norgaard, Lars 613-952-0213 240 Sparks Street Ottawa  ON K1A 0G6 CA","EY 99 Bank Street Suite 1200 Ottawa, ON, K1P 6B9",,
Request for Standing Offers #264 (“RFSO”) Special Examination Auditing Services (P1700512),PW-16-00740674,264,P1700512,Active,2017-01-09,2017-01-10,"R010B - Audit Services, Not Elsewhere Specified",,Open,"Norgaard, Lars 613-952-0213 240 Sparks Street Ottawa  ON K1A 0G6 CA","BDO Canada LLP Slater Street 275 Slater Street 20th Floor Ottawa, ON K1P 5H9",,
Aboriginal Awareness training sessions for the First Nations and Inuit Health Branch (4500357286),PW-16-00752446,1000180519,4500357286,Active,2017-01-10,2017-01-11,U008N - Training and Curriculum Development,,Open,"Allen, Robin 204-984-4504 300 - 391 York Avenue Winnipeg  MB R3C 4W1 CA Robin.Allen@canada.ca","Nation FPG Inc. operating as First Peoples Group 291 Dalhousie Street, Suite 202 Ottawa, ON   K1N 7E5",,
Diesel Fuel Ukraine (W8484-178610-01),PW-16-00749939,W8484-178610/A,W8484-178610-01,Active,2016-12-16,2017-01-17,N9140 - Middle Distillate Fuels,,Open,"+49-261-98252-26  PWGSC.CDOSKoblenz-SCODKoblenz.TPSGC@pwgsc-tpsgc.gc.ca Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","Contango Trade LLC 172 str Gorkogo, rms 517 03680 Kiev, Ukraine",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178464/03-GRK33),PW-17-00766493,GRK(W8482-178464/000/A),W8482-178464/03-GRK33,Active,2016-11-16,2017-01-26,"N9390 - Miscellaneous Fabricated Nonmetallic Material, N5331 - O-Ring, N5330 - Packing and Gasket Material",,Open,"Dernen, Uta +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany uta.dernen@tpsgc-pwgsc.gc.ca","Repaircraft Plc The Common Cranleigh, Surrey GU6 8LU United Kingdom",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178488/01-GRK33),PW-16-00732697,GRK(W8482-178488/000/A),W8482-178488/01-GRK33,Active,2016-12-21,2017-01-26,"N3040 - Power Transmission Equipment, Miscellaneous",,Open,"Dernen, Uta +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca","Source Atlantic Limited operating as Mobile Valve 140 Highway #1 Mount Uniacke, Nova Scotia B0N 1Z0 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178450/01-GRK33),PW-16-00732877,GRK(W8482-178450/000/A),W8482-178450/01-GRK33,Active,2016-12-14,2017-01-26,N2090 - Ship and Marine Miscellaneous Equipment,,Open,"Dernen, Uta +49 261-98252-19 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany uta.dernen@tpsgc-pwgsc.gc.ca","Thales Canada Systems Division  1 Chrysalis Way  Ottawa, Ontario K2G 6P9, Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-168377/01-GRK33),PW-16-00738781,GRK(W8482-168377/000/A),W8482-168377/01-GRK33,Active,2016-10-05,2017-01-26,N5930 - Switches,,Open,"Dernen, Uta +49 261-98252-19 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany uta.dernen@tpsgc-pwgsc.gc.ca","Unisource Technology Incorporated  9010 Ryan Avenue Montreal, Quebec H9P 2M8  Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178463/03-GRK33),PW-17-00766496,GRK(W8482-178463/000/A),W8482-178463/03-GRK33,Active,2017-12-19,2017-01-26,"N3040 - Power Transmission Equipment, Miscellaneous, N3950 - Winches, Hoists, Cranes and Derricks, N5305 - Screws, N5307 - Studs, N5310 - Nuts and Washers, N5340 - Hardware, Commercial",,Open,"Dernen, Uta +49 261-98252-19 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany uta.dernen@tpsgc-pwgsc.gc.ca","Unisource Technology Incorporated 9010 Ryan Avenue Montreal, Quebec H9P 2M8",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178463/02-GRK33),PW-17-00766495,GRK(W8482-178463/000/A),W8482-178463/02-GRK33,Active,2017-12-05,2017-01-26,"N3040 - Power Transmission Equipment, Miscellaneous, N3950 - Winches, Hoists, Cranes and Derricks, N5305 - Screws, N5307 - Studs, N5310 - Nuts and Washers, N5340 - Hardware, Commercial",,Open,"Dernen, Uta +49 261-98252-19 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany uta.dernen@tpsgc-pwgsc.gc.ca","Source Atlantic, Mobile Valve Repairs / N.L. Eldridge,  140 Highway #1, PO Box 90  Mount Uniacke  Nova Scotia B0N 1Z0, Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178463/01-GRK33),PW-16-00739005,GRK(W8482-178463/000/A),W8482-178463/01-GRK33,Active,2017-11-15,2017-01-26,"N3040 - Power Transmission Equipment, Miscellaneous, N3950 - Winches, Hoists, Cranes and Derricks, N5305 - Screws, N5307 - Studs, N5310 - Nuts and Washers, N5340 - Hardware, Commercial",,Open,"Dernen, Uta +49 261-98252-19 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany uta.dernen@tpsgc-pwgsc.gc.ca","C.S Components Bows End, Station Road Meeth Okehampton, Devon EX20 3 EP United Kingdom",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178461/04-GRK29),PW-17-00766678,GRK(W8482-178461/000/A),W8482-178461/04-GRK29,Active,2016-09-28,2017-01-27,"N5315 - Nails, Keys and Pins, N5310 - Nuts and Washers, N5306 - Bolts, N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings, N3950 - Winches, Hoists, Cranes and Derricks, N3120 - Bearings, Plain, Unmounted",,Open,"Dernen,Uta +49 261-98252-19 Travaux publics et Services gouvernementaux Canada Mayener Strasse 87 D-56070 Koblenz, Allemagne uta.dernen@tpsgc-pwgsc.gc.ca sonja.pekrul@tpsgc-pwgsc.gc.ca","Source Atlantic, Mobile Valve Repairs / N.L. Eldridge 140 Highway #1, PO Box 90 Mount Uniacke, Nova Scotia B0N 1Z0  Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178461/03-GRK29),PW-17-00766677,GRK(W8482-178461/000/A),W8482-178461/03-GRK29,Active,2016-09-28,2017-01-27,"N5315 - Nails, Keys and Pins, N5310 - Nuts and Washers, N5306 - Bolts, N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings, N3950 - Winches, Hoists, Cranes and Derricks, N3120 - Bearings, Plain, Unmounted",,Open,"Dernen,Uta +49 261-98252-19 Travaux publics et Services gouvernementaux Canada Mayener Strasse 87 D-56070 Koblenz, Allemagne uta.dernen@tpsgc-pwgsc.gc.ca sonja.pekrul@tpsgc-pwgsc.gc.ca","Central Management Catalogue Agency Ltd. Suites 1 and 2, Brindley Court Gresley Road, Warndon  Worcester, WR4 9FD United Kingdom",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178461/02-GRK29),PW-17-00766675,GRK(W8482-178461/000/A),W8482-178461/02-GRK29,Active,2016-09-28,2017-01-27,"N5315 - Nails, Keys and Pins, N5310 - Nuts and Washers, N5306 - Bolts, N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings, N3950 - Winches, Hoists, Cranes and Derricks, N3120 - Bearings, Plain, Unmounted",,Open,"Dernen,Uta +49 261-98252-19 Travaux publics et Services gouvernementaux Canada Mayener Strasse 87 D-56070 Koblenz, Allemagne uta.dernen@tpsgc-pwgsc.gc.ca sonja.pekrul@tpsgc-pwgsc.gc.ca","Simex Defence Inc. 216 Brunswick Blvd, Pointe Claire Quebec H9R 1A6  Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178461/01-GRK29),PW-16-00731687,GRK(W8482-178461/000/A),W8482-178461/01-GRK29,Active,2016-09-28,2017-01-27,"N5315 - Nails, Keys and Pins, N5310 - Nuts and Washers, N5306 - Bolts, N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings, N3950 - Winches, Hoists, Cranes and Derricks, N3120 - Bearings, Plain, Unmounted",,Open,"Dernen,Uta +49 261-98252-19 Travaux publics et Services gouvernementaux Canada Mayener Strasse 87 D-56070 Koblenz, Allemagne uta.dernen@tpsgc-pwgsc.gc.ca sonja.pekrul@tpsgc-pwgsc.gc.ca","BAE Systems Projects (Canada) Ltd. 220 Larier Avenue West, Suite 1200 Ottawa, Ontario K1P 5Z9 Canada",,
"National Gallery of Canada (RFP) - Website Redevelopment Project Planning, Design, Development And Implementation (NGC107224)",PW-16-00721283,NGC107224,NGC107224,Active,2016-08-16,2017-01-30,"T002GA - Website Communications Consultation and Design, T002GB - Website Content Maintenance and Updating, T002GC - Website Analysis and Evaluation",,Open,"Broom, Kathy 613-990-1995 380 Sussex Drive Ottawa  ON K1N 9N4 CA","Therefore Interactive Inc. 301B – 219 Dufferin Street Toronto, ON M6K 3J1",,
National Gallery of Canada - Invitation to Tender - Glazing Replacement – Canadian Galleries (NGC107552),PW-16-00727014,NGC107552,NGC107552,Active,2016-06-01,2017-01-30,5171B - Glazing and Window Glass Installation,,Open,"Broom, Kathy 613-990-1995 380 Sussex Drive Ottawa  ON K1N 9N4 CA","C3 Polymeric, a division of C3 Buildings and Infrastructure Inc. 7 – 181 Rutherford Road South Brampton, ON L6W 3P4",,
RFSO - Handyperson & Helper Services at the National Gallery of Canada (NGC108541),PW-16-00753614,NGC108541,NGC108541,Active,2016-12-21,2017-01-30,K100B - Building Services - Handyman Services,,Open,"Broom, Kathy 613-990-1995 380 Sussex Drive Ottawa  ON K1N 9N4 CA","To Do Done Services Inc. 201 – 1306 Wellington Street West Ottawa, ON K1Y 3B2",,
"Custom Specification, Evaluation, Re-design and Engineering Services for Double Entry transport cases (2000317)",PW-16-00758289,Advance Contract Award Notice - (ACAN) 220108,2000317,Active,2017-01-30,2017-01-31,"H300A - Laboratory, Testing and Inspection Services, Except Medical/Dental",,Limited,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA","Gryphon Engineering Services  2091635 Ontario Inc 5380 Canotek Road, Unit 19 Ottawa, Ontario K1J 1H7",,
dvance Contract Award Notice – 16-22116 - Gallium nitride Laboratory Service (878342),PW-16-00758307,ACN - 16-22116,878342,Active,2017-01-30,2017-01-31,"H300A - Laboratory, Testing and Inspection Services, Except Medical/Dental",,Limited,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA",Global Communications Semiconductors LLC,,
ACAN - 16-22127 (879035),PW-16-00761280,16-22127,879035,Active,2017-01-30,2017-01-31,D399A - Miscellaneous Communications Services,,Open,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA","8565163 Canada Inc. VEGA 710-388 Blainville Quebec, Sainte-Therese J7E 1N4",,
"HOIST, CHAIN (W8482-178675/001/DMARP4)",PW-16-00752356,W8482-178675/A,W8482-178675/001/DMARP4,Active,2017-01-10,2017-02-08,"N3950 - Winches, Hoists, Cranes and Derricks",,Open,"Joost, Jeremy 819-939-3673 455 Blvd de la Carriere Gatineau  QC J8Y 6R5 CA","Simex Defence Inc Pointe-Claire, QC",,
"SHEET, METAL (W8482-178624/001/DMARP4)",PW-16-00752347,W8482-178624/A,W8482-178624/001/DMARP4,Active,2017-01-09,2017-02-08,"N9515 - Plate, Sheet, Strip, Foil and Leaf",,Open,"Joost, Jeremy 819-939-3673 455 Blvd de la Carriere Gatineau  QC J8Y 6R5 CA","Felix Technology Concord, Ontario",,
"PAD, HEADBAND (W8482-178680/001/DMARP4)",PW-16-00752428,W8482-178680/A,W8482-178680/001/DMARP4,Active,2017-01-10,2017-02-08,"N5965 - Headsets, Handsets, Microphones and Speakers",,Open,"Joost, Jeremy 819-939-3673 455 Boulevard de la Carriere Gatineau  QC J8Y 6R5 CA","Unisource Technology Inc Montreal, Quebec",,
Oxygen Related Spares (W8485-173902/001),PW-16-00754910,W8485-173902,W8485-173902/001,Active,2017-01-19,2017-02-10,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Unisource Technology Inc. 9010 Ryan Ave. Montreal, QC H9P 2M8",,
SHEET METAL (W8485-173853),PW-16-00754964,W8485-173853,W8485-173853,Active,2017-01-26,2017-02-10,"N9535 - Plates, Sheet, Strip and Foil, Nonferrous Base Metal",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Samuel Specialty Metals Division of Samuel, Sons & Co. Ltd. 21525 Clark-Graham Baie d'Urfe, QC H9X 3T5",,
Oxygen Related Spares (W8485-173902/002),PW-16-00754910,W8485-173902,W8485-173902/002,Active,2017-01-19,2017-02-10,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, QC H9R 1A6",,
Work Alone Protection Services – (WAPS) for the Northern AB & NWT Area Parole District (57101-17-2397211),PW-16-00758083,57101-17-2397211,57101-17-2397211,Active,2017-02-09,2017-02-10,G009G - Health and Welfare Services,,Open,"Chabot, Claudette 306-659-9255 3427 Faithfull Avenue Saskatoon  SK S7K 8H6 CA",Protelec Ltd.,,
Office Seating (7218538),PW-17-00766745,201706365-B,7218538,Active,2017-02-10,2017-02-13,"N7110 - Office Furniture, JI7110 - Office Furniture - Installation",,Open,"McKenna, Jordan 613-843-5518 73 Leikin Dr. Ottawa  ON K1A 0R2 CA",Bouty Inc. 10871 Salk St. Montreal QC,,
Interconnecting Panels and Freestanding Systems (7218340),PW-17-00766374,201706364,7218340,Active,2017-02-10,2017-02-13,"N7110 - Office Furniture, JI7110 - Office Furniture - Installation",,Selective,"McKenna, Jordan 613-843-5518 73 Leikin Dr. Ottawa  ON K1A 0R2 CA","Teknion Roy & Breton 1150 Flint Rd. Downsview, ON M3J 2J5 Canada",,
Interconnecting Panels and Freestanding Systems (7218478),PW-17-00766390,201706493,7218478,Active,2017-02-10,2017-02-13,"N7110 - Office Furniture, JI7110 - Office Furniture - Installation",,Open,"McKenna, Jordan 613-843-5518 73 Leikin Dr. Ottawa  ON K1A 0R2 CA","Teknion Furniture Systems Co. 1150 Flint Rd., Toronto, ON M3J 2J5",,
Side and Rotary Chairs (7218116),PW-17-00765994,201706417,7218116,Active,2017-02-10,2017-02-13,"JI7110 - Office Furniture - Installation, N7110 - Office Furniture",,Limited,"McKenna, Jordan 613-843-5518 73 Leikin Dr. Ottawa  ON K1A 0R2 CA","Steelcase Canada Ltd. King St. W Unit 2400 Toronto, ON",,
"LOADER ADAPTER , POWER SUPPLY (W8485-173880)",PW-16-00760055,W8485-173880,W8485-173880,Active,2017-01-27,2017-02-14,"N5895 - Miscellaneous Communications Equipment, N6130 - Converters, Electrical, Nonrotating",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defence Inc. 2273 Guenette Saint-Laurent, QC H4R 2E9",,
CABLE  ASSEMBLY (W8485-174238),PW-16-00761504,W8485-174238/A,W8485-174238,Active,2017-02-09,2017-02-14,N1730 - Aircraft Ground Servicing Equipment,,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Glesco Equipment Inc. P.O. Box 97 Kirkland, QC H9H 0A2",,
FLYER’S HELMET SPARES (W8485-173848/001),PW-16-00759933,W8485-173848/B,W8485-173848/001,Active,2017-01-27,2017-02-14,"N5995 - Cable, Cord, and Wire Assemblies, Communication Equipment, N5965 - Headsets, Handsets, Microphones and Speakers",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defence Inc. 2273 Rue Guenette Saint-Laurent, QC H4R 2E9",,
FLYER’S HELMET SPARES (W8485-173848/004),PW-16-00759933,W8485-173848/B,W8485-173848/004,Active,2017-01-27,2017-02-14,"N5965 - Headsets, Handsets, Microphones and Speakers, N6230 - Electric Portable and Hand Lighting Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Unisource Technology Inc. 9010 Ryan Ave. Montreal, QC H9P 2M8",,
FLYER’S HELMET SPARES (W8485-173848/005),PW-16-00759933,W8485-173848/B,W8485-173848/005,Active,2017-01-27,2017-02-14,N6230 - Electric Portable and Hand Lighting Equipment,,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Cleeve Technology Inc. 716 Colonel Sam Dr. Oshawa, ON L1H 7Y2",,
FLYER’S HELMET SPARES (W8485-173848/002),PW-16-00759933,W8485-173848/B,W8485-173848/002,Active,2017-01-27,2017-02-14,"N5995 - Cable, Cord, and Wire Assemblies, Communication Equipment, N5965 - Headsets, Handsets, Microphones and Speakers, N6230 - Electric Portable and Hand Lighting Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Point-Claire, QC H9R 1A6",,
FLYER’S HELMET SPARES (W8485-173848/003),PW-16-00759933,W8485-173848/B,W8485-173848/003,Active,2017-01-27,2017-02-14,"N5995 - Cable, Cord, and Wire Assemblies, Communication Equipment, N5965 - Headsets, Handsets, Microphones and Speakers",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Aero Precision Industries LLC 201 Lindbergh Ave. Livemore, CA USA 94551",,
MICROMETER OPTICAL (W8485-174052),PW-16-00760296,W8485-174052/A,W8485-174052,Active,2017-02-09,2017-02-14,"N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defence Inc. 2273 Rue Guenette Saint-Laurent, QC H4R 2E9",,
PACK AND HARNESS ASSY. PARACHUTE (W8485-173858),PW-16-00759371,W8485-173858,W8485-173858,Active,2017-02-09,2017-02-14,"N1670 - Parachutes, Aerial Pick-Up Delivery, Recovery Systems, and Cargo Tie Down Equipment",,Open,"Mcilveen, Ralph 819-939-4538 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Miltex Solutions Canada 35 Wilson Ave. Belleville, ON K8P 1R7",,
OXYGEN MASK SPARES (W8485-173852/001),PW-16-00754913,W8485-173852,W8485-173852/001,Active,2017-01-20,2017-02-14,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defence Inc. 2273 Rue Guenette Saint-Laurent, QC H4R 2E9",,
OXYGEN MASK SPARES (W8485-173852/002),PW-16-00754913,W8485-173852,W8485-173852/002,Active,2017-01-20,2017-02-14,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, QC H9R 1A6",,
"NCC Professional Services for the Ombudsman Responsibilities, National Capital Region (0)",PW-16-00754263,NR85,0,Active,2017-02-14,2017-02-15,R019AB - Professional Services / Program Advisory Services,,Open,"Rheault, Nathalie 613-239-5678 extension 5080 40 Elgin Street, Suite 202 Ottawa  ON K1P 1C7 CA",No bids received,,
LIQUID OXYGEN VENT KIT COMPONENTS (W8485-174009),PW-16-00754917,W8485-174009,W8485-174009,Active,2017-01-26,2017-02-15,"N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N3655 - Gas Generating and Dispensing Systems, Fixed or Mobile, N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, QC H9R 1A6",,
"BAG,RESCUE EQUIPMENT (W8485-174012)",PW-16-00762087,W8485-174012/A,W8485-174012,Active,2017-02-14,2017-02-17,N4240 - Safety and Rescue Equipment,,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Miltex Solutions Canada 35 Wilson Ave. Belleville, ON K8P 1R7",,
"BATTERY, NON RECHARGEABLE (W8485-173881)",PW-16-00761841,W8485-173881,W8485-173881,Active,2017-02-16,2017-02-17,"N6130 - Converters, Electrical, Nonrotating",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, QC H9R 1A6",,
"RESCUE UNIT,EMERGENCY (W8485-174010)",PW-16-00760103,W8485-174010/A,W8485-174010,Active,2017-01-25,2017-02-20,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, QC H9R 1A6",,
Consulting services for implementation of a Controlled Goods/ITAR program. (881986),PW-17-00767582,16-22145,881986,Active,2017-02-20,2017-02-21,R019F - Consulting Services,,Open,"Ellis, Melody 613-993-4461 1200 Montreal Road Ottawa  ON K1A 0R6 CA","Michel Genest 56 Albert St. Embrun, ON",,
Invitation to Qualify for Commercial Wi-Fi Services (15-34077/B) (Wi-Fi ITQ 15-34077/B),PW-16-00744672,15-34077/B,Wi-Fi ITQ 15-34077/B,Active,2017-02-21,2017-02-21,D316B - Telecommunications Network Services,,Open,"Orr, Ryan 613-291-1292 180 Kent Street Ottawa  ON K1P 0B6 CA","Pour connaître les  différents Répondants Qualifiés (RQ), veuillez voir la liste ci-dessous.  There are various Qualified Respondents (QRs), please see description below.",,
