title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
Safety and Rescue Equipment - Repair (W6399-12DG98/001/HN),PW-$$HN-313-61007,W6399-12DG98/A,W6399-12DG98/001/HN,Active,2012-08-13,2012-08-14,JX4240 - Safety and Rescue Equipment - Repair,,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,SUBMERSIBLE SYSTEMS LTD 18112 GOTHARD ST HUNTINGTON BEACH California United States,USD,37260.00
"Electrical and Electronic Assemblies, Boards, Cards and Associated Hardware (9F010-120205/001/HN)",PW-$$HN-313-61083,9F010-120205/A,9F010-120205/001/HN,Active,2012-08-23,2012-08-24,"N5998 - Electrical and Electronic Assemblies, Boards, Cards and Associated Hardware",,,CANADIAN SPACE AGENCY 3701 CARLING AVE BLDG 65 P.O.BOX 11490 H OTTAWA ON K2H8S2 CAN,Nearfield Systems Inc. 19730 Magellan Dr. Torrance California 90502 United States,USD,112155.00
Electrical and Electronic Properties Measuring and Testing Instruments (9F010-120304/001/HN),PW-$$HN-313-61227,9F010-120304/A,9F010-120304/001/HN,Active,2012-09-20,2012-09-21,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,,CANADIAN SPACE AGENCY 3701 CARLING AVE BLDG 65 P.O.BOX 11490 H OTTAWA ON K2H8S2 CAN,Nearfield Systems Inc. 19730 Magellan Dr. Torrance California 90502 United States,USD,119350.00
Electrical and Electronic Properties Measuring and Testing Instruments (31184-125744/001/HN),PW-$$HN-313-61994,31184-125744/A,31184-125744/001/HN,Active,2013-01-18,2013-01-21,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,Radian Research Inc. 3852 Fortune Drive Lafayette Indiana 47905 United States,USD,33268.00
Amplifiers (W8482-120881/001/HN),PW-$$HN-325-59315,W8482-120881/A,W8482-120881/001/HN,Active,2012-02-20,2012-02-21,N5996 - Amplifiers,,,DEPARTMENT OF NATIONAL DEFENCE ATTN DGMEPM NP - DMARP 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Applied Systems Engineering Inc P.O. Box 122987 Forth Worth Texas 76121 United States,USD,146800.00
"Batteries, Rechargeable (W6399-12DF38/001/HN)",PW-$$HN-325-60011,W6399-12DF38/A,W6399-12DF38/001/HN,Active,2012-03-12,2012-03-13,"N6140 - Batteries, Rechargeable",,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,STIDD SYSTEMS INC P.O. Box 87 Greenport New York 11944 United States,USD,87376.22
"Gas Generating and Dispensing Systems, Fixed or Mobile (W8486-129473/001/HN)",PW-$$HN-329-60598,W8486-129473/A,W8486-129473/001/HN,Active,2012-05-30,2012-05-31,"N3655 - Gas Generating and Dispensing Systems, Fixed or Mobile",,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Mandus Group Ltd PO Box 214 Long Grove Iowa 52756 United States,USD,38900.00
"Automatic Data Processing Equipment, System Configuration (5Z011-140426/001/HN)",PW-$$HN-329-64330,5Z011-140426/A,5Z011-140426/001/HN,Active,2014-01-07,2014-01-07,"N7010 - Automatic Data Processing Equipment, System Configuration",,,LIBRARY AND ARCHIVES CANADA PLACE DE LA CITE 8TH FL. 550 DE LA CITE BLVD GATINEAU QC K1A0N4 CAN,"Front Porch Digital, Inc. 2650 Crescent Drive, Suite 201 Lafayette Colorado 80026 United States",USD,78676.00
Electrical and Electronic Properties Measuring and Testing Instruments (K8A21-110134/001/HN),PW-$$HN-330-60556,K8A21-110134/B,K8A21-110134/001/HN,Active,2012-05-25,2012-05-28,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,,ENVIRONMENT CANADA AIR QUALITY RESEARCH 335 RIVER RD OTTAWA ON K1A0H3 CAN,Application Engineering Inc 1310 Kalamazoo St South Haven Michigan 49090 United States,USD,68760.00
"Converters, Electrical, Nonrotating (W8486-134718/001/HN)",PW-$$HN-331-61051,W8486-134718/A,W8486-134718/001/HN,Active,2012-08-21,2012-08-22,"N6130 - Converters, Electrical, Nonrotating",,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Kaycom Incorporated 193 Brunswick Blvd. Pointe-Claire Quebec H9R5N2 Canada,USD,304203.90
Amplifiers (W8486-136180/001/HN),PW-$$HN-331-61367,W8486-136180/A,W8486-136180/001/HN,Active,2012-10-12,2012-10-16,N5996 - Amplifiers,,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,AR WorldWide 160 Schoolhouse Road Souderton Pennsylvania 18964 United States,USD,133030.00
Video Recording and Reproduction Equipment (23240-130237/001/HN),PW-$$HN-331-61586,23240-130237/A,23240-130237/001/HN,Active,2012-11-21,2012-11-22,N5836 - Video Recording and Reproduction Equipment,,,NATURAL RESOURCES CANADA 4TH FL 580 BOOTH ST OTTAWA ON K1A0E4 CAN,NTSC International Corporation 543 Country Club Drive Suite B-534 Simi Valley California 93065 United States,USD,52675.00
"Radio and Television Communications Equipment, Except Airborne (W7714-135762/001/HN)",PW-$$HN-331-61709,W7714-135762/A,W7714-135762/001/HN,Active,2012-12-06,2012-12-07,"N5820 - Radio and Television Communications Equipment, Except Airborne",,,DEPARTMENT OF NATIONAL DEFENCE BLDG 29 RECEIVING 3701 CARLING AVE OTTAWA ON K1A0Z4 CAN,Mid-Atlantic RF Systems Inc. 105 E. Jarrettsville Road P.O. Box 745 Forest Hill Maryland 21050 United States,USD,28625.75
Electrical and Electronic Properties Measuring and Testing Instruments (M7594-132795/001/HN),PW-$$HN-331-61863,M7594-132795/A,M7594-132795/001/HN,Active,2012-12-28,2012-12-31,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,,ROYAL CANADIAN MOUNTED POLICE 4TH FL. 73 LEIKIN DR. M1 OTTAWA ON K1A0R2 CAN,SURVEY TECHNOLOGIES INC. 2867 SW GREEWAY AVENUE PORTLAND Oregon 97201 United States,USD,61294.00
"Antennas, Waveguides and Related Equipment (23240-130309/001/HN)",PW-$$HN-333-62370,23240-130309/A,23240-130309/001/HN,Active,2013-03-07,2013-03-08,"N5985 - Antennas, Waveguides and Related Equipment",,,NATURAL RESOURCES CANADA 4TH FL 580 BOOTH ST OTTAWA ON K1A0E4 CAN,GEOSHACK CANADA COMPANY 240 THAMES RD W EXETER Ontario N0M1S3 Canada,USD,79213.00
Miscellaneous Communications Equipment (W8474-136391/001/HN),PW-$$HN-333-62379,W8474-136391/A,W8474-136391/001/HN,Active,2013-03-08,2013-03-11,N5895 - Miscellaneous Communications Equipment,,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DRIVE OTTAWA ON K1A0K2 CAN,Harris Corporation 1680 University Avenue Rochester New York 14610 United States,USD,1905545.21
Miscellaneous Electric Power and Distribution Equipment (W8482-133778/001/HN),PW-$$HN-334-63655,W8482-133778/A,W8482-133778/001/HN,Active,2013-10-10,2013-10-21,N6150 - Miscellaneous Electric Power and Distribution Equipment,,,DEPARTMENT OF NATIONAL DEFENCE ATTN DGMEPM NP - DMARP 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,The Boeing Company P.O. Box 516 Saint Louis Missouri 63134 United States,USD,573960.00
"Radio and Television Communications Equipment, Except Airborne (08843-110240/001/HN)",PW-$$HN-354-60822,08843-110240/A,08843-110240/001/HN,Active,2012-07-10,2012-07-11,"N5820 - Radio and Television Communications Equipment, Except Airborne",,,"FOREIGN AFFAIRS AND INTERNATIONAL TRADE, DEPARTMENT OF LB PEARSON BLDG TWR B GROUND 125 SUSSEX DR. OTTAWA ON K1A0G2 CAN","Secom Alpha Co., Ltd. MSD20Bldg., 5-17-14 Sendagaya Shibuya-ku, Tokyo 151-0051 Japan",JPY,9390000.00
Electrical and Electronic Properties Measuring and Testing Instruments (M7594-133696/001/HN),PW-$$HN-354-62277,M7594-133696/A,M7594-133696/001/HN,Active,2013-02-22,2013-02-25,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,,ROYAL CANADIAN MOUNTED POLICE 4TH FL. 73 LEIKIN DR. M1 OTTAWA ON K1A0R2 CAN,"Locus Diagnostics, LLC 4300 Fortune Place Suite A Melbourne Florida 32904 United States",USD,98239.00
"Batteries, Rechargeable (W8486-137801/001/HN)",PW-$$HN-354-62416,W8486-137801/A,W8486-137801/001/HN,Active,2013-03-14,2013-03-15,"N6140 - Batteries, Rechargeable",,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"A.T.S.I. Ltd 10 Ellwood Rise Chalfont St Giles, Bucks HP8 4SU United Kingdom",GBP,143405.00
Electrical and Electronic Properties Measuring and Testing Instruments (31184-124041/001/HN),PW-$$HN-357-62098,31184-124041/A,31184-124041/001/HN,Active,2013-01-31,2013-02-01,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,"Testforce Systems Inc. 235 Stafford Road West, Suite 107 Ottawa Ontario K2H9C1 Canada",USD,248856.51
"Antennas, Waveguides and Related Equipment (9F010-130539/001/HN)",PW-$$HN-363-64232,9F010-130539,9F010-130539/001/HN,Active,2013-12-19,2013-12-19,"N5985 - Antennas, Waveguides and Related Equipment",,,CANADIAN SPACE AGENCY 3701 CARLING AVE BLDG 65 P.O.BOX 11490 H OTTAWA ON K2H8S2 CAN,AR WorldWide 160 Schoolhouse Road Souderton Pennsylvania 18964 United States,USD,34510.35
Household and Commercial Utility Containers (5FB0A-12T727/001/HN),PW-$$HN-366-59459,5FB0A-12T727,5FB0A-12T727/001/HN,Active,2012-02-27,2012-02-28,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,128936.64
Household and Commercial Utility Containers (5FB0A-12T728/001/HN),PW-$$HN-366-59460,5FB0A-12T728,5FB0A-12T728/001/HN,Active,2012-02-27,2012-02-28,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,128936.64
Household and Commercial Utility Containers (5FB0A-12T787/001/HN),PW-$$HN-366-60165,5FB0A-12T787,5FB0A-12T787/001/HN,Active,2012-03-27,2012-03-28,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-12T788/001/HN),PW-$$HN-366-60167,5FB0A-12T788,5FB0A-12T788/001/HN,Active,2012-03-27,2012-03-28,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-13T019/001/HN),PW-$$HN-366-60317,5FB0A-13T019,5FB0A-13T019/001/HN,Active,2012-04-20,2012-04-23,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,128936.64
Household and Commercial Utility Containers (5FB0A-13T021/001/HN),PW-$$HN-366-60319,5FB0A-13T021,5FB0A-13T021/001/HN,Active,2012-04-20,2012-04-23,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
"Cable, Cord, and Wire Assemblies, Communication Equipment (5FUSA-13C006/001/HN)",PW-$$HN-366-60450,5FUSA-13C006,5FUSA-13C006/001/HN,Active,2012-05-11,2012-05-14,"N5995 - Cable, Cord, and Wire Assemblies, Communication Equipment",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Patlon Aircraft & Industries Limited 8130 Fifth Line Halton Hills Ontario L7G0B8 Canada,USD,207541.92
Household and Commercial Utility Containers (5FB0A-13T076/001/HN),PW-$$HN-366-60584,5FB0A-13T076,5FB0A-13T076/001/HN,Active,2012-05-29,2012-05-30,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-13T075/001/HN),PW-$$HN-366-60587,5FB0A-13T075,5FB0A-13T075/001/HN,Active,2012-05-30,2012-05-31,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,128936.64
Household and Commercial Utility Containers (5FB0A-13T164/001/HN),PW-$$HN-366-60760,5FB0A-13T164,5FB0A-13T164/001/HN,Active,2012-06-28,2012-06-29,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-13T160/001/HN),PW-$$HN-366-60761,5FB0A-13T160,5FB0A-13T160/001/HN,Active,2012-06-28,2012-06-29,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-13T216/001/HN),PW-$$HN-366-60971,5FB0A-13T216,5FB0A-13T216/001/HN,Active,2012-08-02,2012-08-03,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,322341.60
Household and Commercial Utility Containers (5FB0A-13T217/001/HN),PW-$$HN-366-60972,5FB0A-13T217,5FB0A-13T217/001/HN,Active,2012-08-02,2012-08-03,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-13T250/001/HN),PW-$$HN-366-61211,5FB0A-13T250,5FB0A-13T250/001/HN,Active,2012-09-18,2012-09-19,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Household and Commercial Utility Containers (5FB0A-13T251/001/HN),PW-$$HN-366-61228,5FB0A-13T251,5FB0A-13T251/001/HN,Active,2012-09-20,2012-09-21,N7240 - Household and Commercial Utility Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Scepter Corporation 170 Midwest Road Toronto Ontario M1P3A9 Canada,USD,64468.32
Miscellaneous Electrical and Electronic Components (U4210-141593/001/HN),PW-$$HN-380-63980,U4210-141593/A,U4210-141593/001/HN,Active,2013-11-27,2013-11-27,N5999 - Miscellaneous Electrical and Electronic Components,,,INDUSTRY CANADA JEAN EDMONDS TWR N.13TH FL 300 SLATER ST OTTAWA ON K1A0C8 CAN,MERRIMAC INDUSTRIES INC PO BOX 986 141 FAIRFIELD PL W CALDWELL New Jersey United States,USD,36466.33
"Antennas, Waveguides and Related Equipment (U4210-141672/001/HN)",PW-$$HN-442-64326,U4210-141672/A,U4210-141672/001/HN,Active,2014-01-07,2014-01-07,"N5985 - Antennas, Waveguides and Related Equipment",,,INDUSTRY CANADA JEAN EDMONDS TWR N.13TH FL 300 SLATER ST OTTAWA ON K1A0C8 CAN,J - Squared Technologies Inc 4015 Carling Avenue Ottawa Ontario K2K2A3 Canada,USD,80258.25
ATTRITOR (23240-120697/001/HN),PW-$$HN-445-58438,23240-120697/A,23240-120697/001/HN,Active,2012-06-05,2012-06-06,N3415 - Grinding Machines,,,NATURAL RESOURCES CANADA 4TH FL 580 BOOTH ST OTTAWA ON K1A0E4 CAN,Firing Industries Ltd. 509 Glendale Ave.E. Suite 301 Niagara-on-the-Lake Ontario L0S1J0 Canada,USD,260138.43
"Converters, Electrical, Nonrotating (5FUSA-12C083/001/HN)",PW-$$HN-445-58481,5FUSA-12C083,5FUSA-12C083/001/HN,Active,2012-02-02,2012-02-03,"N6130 - Converters, Electrical, Nonrotating",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Honeywell ASCa Inc. Honeywell Aerospace 3333 Unity Drive Mississauga Ontario L5L3S6 Canada,USD,378534.00
"Machine Tools, Miscellaneous (31184-122676/001/HN)",PW-$$HN-445-61947,31184-122676/A,31184-122676/001/HN,Active,2013-01-15,2013-01-16,"N3419 - Machine Tools, Miscellaneous",,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,Gudel Inc. 4881 Runway Blvd. Ann Arbor Michigan 48108 United States,USD,94980.00
"Specialized Semiconductor, Micro-Circuit and Printed Circuit Board Manufacturing Machinery (31184-120557/001/HN)",PW-$$HN-446-61540,31184-120557,31184-120557/001/HN,Active,2012-11-13,2012-11-14,"N3670 - Specialized Semiconductor, Micro-Circuit and Printed Circuit Board Manufacturing Machinery",,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,Xenon Corporation 37 Upton Drive Wilmington Maine 01887 United States,USD,65375.00
Various items (W8486-136817/006/HN),PW-$$HN-446-61740,W8486-136817/A,W8486-136817/006/HN,Active,2013-03-04,2013-03-05,N5905 - Resistors,,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Twenty20 Insight Inc. 1135 St Germain Crescent Ottawa Ontario K1C2L7 Canada,EUR,171684.69
"Antennas, Waveguides and Related Equipment (W7714-125593/001/HN)",PW-$$HN-460-59585,W7714-125593/A,W7714-125593/001/HN,Active,2012-02-29,2012-03-01,"N5985 - Antennas, Waveguides and Related Equipment",,,DEPARTMENT OF NATIONAL DEFENCE BLDG 29 RECEIVING 3701 CARLING AVE OTTAWA ON K1A0Z4 CAN,"M2 Antenna Systems, Inc. 4402 N. Selland Fesno California 93722 United States",USD,41612.00
Miscellaneous Special Industry Machinery (M7594-133746/001/HN),PW-$$HN-460-62230,M7594-133746/A,M7594-133746/001/HN,Active,2013-02-18,2013-02-19,N3695 - Miscellaneous Special Industry Machinery,,,ROYAL CANADIAN MOUNTED POLICE 4TH FL. 73 LEIKIN DR. M1 OTTAWA ON K1A0R2 CAN,"Tactek Services Ltd No 1, The Laurels Flightway, Dunkeswell, Devon EX14 4RS United Kingdom",GBP,50000.00
Milling Machines (31184-139568/001/HN),PW-$$HN-460-63481,31184-139568/A,31184-139568/001/HN,Active,2013-09-13,2013-09-13,N3417 - Milling Machines,,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,Sirco Machinery Company Limited 40 Jutland Road Toronto Ontario M8Z2G9 Canada,USD,464430.00
Glass Fabricated Materials (W8482-120268/001/HP),PW-$$HP-356-60135,W8482-120268/B,W8482-120268/001/HP,Active,2012-03-22,2012-03-23,N9340 - Glass Fabricated Materials,,,DEPARTMENT OF NATIONAL DEFENCE ATTN DGMEPM NP - DMARP 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Cornell-Carr Co. Inc. P.O. Box 253 626 Main Street Monroe Connecticut 06468 United States,USD,39560.00
"Bearings, Antifriction, Unmounted (5FB0A-12C738/001/HP)",PW-$$HP-523-60074,5FB0A-12C738,5FB0A-12C738/001/HP,Active,2012-03-14,2012-03-15,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,133020.00
"Bearings, Antifriction, Unmounted (5FB0A-12C740/001/HP)",PW-$$HP-523-60094,5FB0A-12C740,5FB0A-12C740/001/HP,Active,2012-03-15,2012-03-16,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,33594.75
"Bearings, Antifriction, Unmounted (5FB0A-12C799/001/HP)",PW-$$HP-523-60205,5FB0A-12C799,5FB0A-12C799/001/HP,Active,2012-03-30,2012-04-02,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,33600.00
"Bearings, Antifriction, Unmounted (5FB0A-12C772/001/HP)",PW-$$HP-523-60286,5FB0A-12C772,5FB0A-12C772/001/HP,Active,2012-04-18,2012-04-19,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,172845.00
"Bearings, Antifriction, Unmounted (5FB0A-13C056/001/HP)",PW-$$HP-523-60418,5FB0A-13C056,5FB0A-13C056/001/HP,Active,2012-05-08,2012-05-09,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,32320.80
"Bearings, Antifriction, Unmounted (5FB0A-13C096/001/HP)",PW-$$HP-523-60528,5FB0A-13C096,5FB0A-13C096/001/HP,Active,2012-05-23,2012-05-24,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,43074.69
"Bearings, Antifriction, Unmounted (5FB0A-13C144/001/HP)",PW-$$HP-523-60670,5FB0A-13C144,5FB0A-13C144/001/HP,Active,2012-06-13,2012-06-14,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,214225.00
"Bearings, Antifriction, Unmounted (5FB0A-13C149/001/HP)",PW-$$HP-523-60690,5FB0A-13C149,5FB0A-13C149/001/HP,Active,2012-06-15,2012-06-18,"N3110 - Bearings, Antifriction, Unmounted",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,FAG AEROSPACE INC. 151 Wright Blvd Stratford Ontario N4Z1H3 Canada,USD,36257.66
Compressors and Vacuum Pumps (31184-123058/001/HP),PW-$$HP-918-61935,31184-123058/A,31184-123058/001/HP,Active,2013-01-11,2013-01-14,N4310 - Compressors and Vacuum Pumps,,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,EBARA TECHNOLOGIES INC. 51 MAIN AVENUE SACRAMENTO California 95838 United States,USD,33308.00
"Vehicular Components, Miscellaneous (W8486-135655/001/HS)",PW-$$HS-597-61379,W8486-135655/A,W8486-135655/001/HS,Active,2012-10-15,2012-10-16,"N2590 - Vehicular Components, Miscellaneous",,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"Critical Solutions International Inc. 2933 Eisenhower Road, Suite 120 Carrollton Texas 75007 United States",USD,54689.24
"Materials Handling Equipment, Miscellaneous (W8486-148706/001/HS)",PW-$$HS-604-63646,W8486-148706/A,W8486-148706/001/HS,Active,2013-10-09,2013-10-09,"N3990 - Materials Handling Equipment, Miscellaneous",,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"Petter Investments, Inc. 233 Veterans Blvd. South Haven Michigan 49090 United States",USD,1989132.00
"Materials Handling Equipment, Miscellaneous (5FB0A-12T736/001/HS)",PW-$$HS-619-59944,5FB0A-12T736,5FB0A-12T736/001/HS,Active,2012-03-08,2012-03-09,"N3990 - Materials Handling Equipment, Miscellaneous",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,G.T. MACHINING & FABRICATING LTD. 7 KELWOOD CRESCENT P.O.BOX 128 NAPANEE Ontario K7R3M3 Canada,USD,9492398.76
Specialized Shipping and Storage Containers (5FB0A-12T782/001/HS),PW-$$HS-619-60139,5FB0A-12T782,5FB0A-12T782/001/HS,Active,2012-03-22,2012-03-23,N8145 - Specialized Shipping and Storage Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,G.T. MACHINING & FABRICATING LTD. 7 KELWOOD CRESCENT P.O.BOX 128 NAPANEE Ontario K7R3M3 Canada,USD,6015071.34
Specialized Shipping and Storage Containers (5FB0A-12T783/001/HS),PW-$$HS-619-60140,5FB0A-12T783,5FB0A-12T783/001/HS,Active,2012-03-22,2012-03-23,N8145 - Specialized Shipping and Storage Containers,,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,G.T. MACHINING & FABRICATING LTD. 7 KELWOOD CRESCENT P.O.BOX 128 NAPANEE Ontario K7R3M3 Canada,USD,26733650.40
"Warehouse Trucks and Tractors, Self-Propelled (5FB0A-13W022/001/HS)",PW-$$HS-619-60314,5FB0A-13W022,5FB0A-13W022/001/HS,Active,2012-04-20,2012-04-23,"N3930 - Warehouse Trucks and Tractors, Self-Propelled",,,CANADIAN COMMERCIAL CORPORATION 11TH FL. 50 O CONNOR ST OTTAWA ON K1A0S6 CAN,Liftking Industries Inc. 7135 Islington Avenue Woodbridge Ontario L4L1V9 Canada,USD,531776.00
